"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,535.1919212,385.7336819,1.309,0.815,1.234,0.985,0.657,1.357,2.102,1.080,0.439,0.023,1.960,2.310,1.380,1.430,1.300,1.659,3.069,2.016,2.422,2.053,2.313,3.366,1.385,2.351,2.525,2.379,1.955,1.075,2.054,2.581,1.758,1.977,2.665,1.769,3.274,3.656,1.495,1.382,4.284,1.832
Negative,531.1177584,148.9046409,0.031,0.809,0.300,2.501,1.359,0.901,0.858,2.893,0.348,0.000,0.910,1.320,1.650,2.270,5.590,1.396,2.418,3.561,1.684,3.430,1.929,3.081,1.074,3.480,4.227,0.248,0.990,1.139,2.058,4.977,0.000,1.111,1.040,1.119,11.400,1.656,1.807,0.789,4.933,3.268
Negative,530.1141449,148.6182992,0.121,0.419,0.870,2.142,1.448,0.694,1.102,1.609,1.546,0.049,1.360,1.000,0.990,2.290,4.100,0.758,1.690,2.114,2.170,3.392,1.470,2.237,1.648,3.916,4.642,0.812,0.909,0.934,2.031,3.473,0.000,0.827,1.486,1.411,8.899,1.182,1.328,1.628,4.256,3.003
Negative,528.2887647,1256.319496,0.216,0.910,2.338,0.927,0.609,1.241,1.270,0.775,1.713,0.000,2.250,1.730,1.070,0.550,2.080,1.985,2.077,2.023,0.947,1.753,4.069,1.781,1.240,2.005,3.623,1.373,1.289,1.075,2.081,1.702,1.652,2.001,1.757,1.566,3.970,0.800,1.022,0.485,0.378,3.072
Negative,527.1586318,277.2104131,1.776,0.867,1.613,0.151,0.592,0.576,2.954,0.551,0.769,0.149,0.140,3.080,0.760,5.590,2.270,7.118,8.010,2.282,1.942,10.179,4.711,2.769,1.616,5.284,3.987,3.212,2.865,1.567,3.889,5.959,4.503,1.440,5.480,3.239,7.375,3.719,0.766,1.233,5.469,1.903
Negative,526.1559766,277.0269928,1.287,0.887,1.080,0.752,0.994,0.843,1.985,0.679,1.193,0.300,0.520,3.290,0.970,3.430,2.540,4.100,4.774,2.082,1.754,4.435,3.239,2.456,2.301,4.100,3.177,1.926,1.586,1.521,3.011,3.194,2.060,1.880,4.119,2.233,4.071,4.412,1.083,1.860,2.948,2.435
Negative,520.9100244,1671.876674,1.043,0.958,1.437,0.978,0.584,0.711,0.689,2.715,0.372,0.513,2.050,0.510,0.590,0.730,0.030,0.583,0.145,0.748,0.722,0.241,0.559,0.450,0.504,0.051,0.302,0.536,0.885,0.575,0.993,0.317,0.738,0.675,0.759,0.601,0.219,0.687,0.628,0.881,0.449,0.284
Negative,519.8958837,60.77649769,0.596,0.936,0.757,1.993,0.718,1.143,1.963,0.336,1.558,0.000,0.760,1.900,1.210,2.300,1.800,2.152,1.954,0.508,0.589,1.959,1.636,3.814,2.559,2.639,1.106,1.624,0.964,1.668,1.931,0.725,1.352,2.153,2.231,2.828,2.236,1.851,1.284,1.587,2.029,0.847
Negative,518.8954106,60.77649769,0.588,1.066,1.208,1.617,0.521,1.656,1.502,0.719,1.060,0.063,1.550,1.610,1.440,1.330,2.530,2.335,2.227,1.330,1.556,1.914,2.149,3.503,2.826,2.647,2.706,1.494,1.461,1.205,1.538,1.185,1.821,2.985,1.873,1.805,3.149,1.975,1.638,1.711,2.389,1.491
Negative,517.8974057,60.68507382,0.502,1.176,0.822,1.879,0.620,1.254,1.680,0.485,1.581,0.000,1.940,1.840,1.290,1.440,2.500,1.848,2.380,1.527,1.785,1.920,1.735,2.779,1.886,2.238,1.968,1.728,1.334,1.949,1.739,1.312,1.669,2.348,1.657,1.265,2.631,1.593,1.559,1.586,2.178,1.371
Negative,516.8967649,60.84707833,0.807,0.961,0.924,1.683,0.625,1.410,1.735,0.854,1.000,0.000,1.660,1.830,1.410,1.450,2.410,2.076,2.022,1.526,1.798,2.033,2.169,3.054,2.506,2.483,2.342,1.439,1.177,1.438,1.610,1.290,1.769,2.348,2.025,1.855,2.723,1.796,1.559,1.702,2.015,1.558
