UNIPROT	SYMBOL
C9JHV9	PTK2B
C9JI87	VDAC1
C9JI91	TRIM56
C9JIF9	APEH
C9JIG9	OXSR1
C9JIR0	MAD1L1
C9JIS1	GNB2
C9JIX7	SSX2IP
C9JIZ0	LSM8
C9JJ19	MRPS34
C9JJG2	POLR1B
C9JJP5	TFG
C9JJU7	FAM207A
C9JKA9	KIF15
C9JKF1	SAMD9
C9JKQ2	NDUFB3
C9JLK0	ATIC
C9JLM5	SERPINB5
C9JLS9	PSMC2
C9JLU1	POLR2H
C9JLV4	APAF1
C9JLV5	COPS3
C9JM20	RSBN1L
C9JM75	RPUSD3
C9JM79	PPIG
C9JMG5	HIP1
C9JMN1	SMC6
C9JMN9	PDIA4
C9JMT4	PREPL
C9JMY0	LENG8
C9JNH7	GTF3C2
C9JNH8	RAD50
C9JNT3	GSTK1
C9JNU9	USP4
C9JNW5	RPL24
C9JPC0	PSMD2
C9JPC3	FKBP10
C9JPC9	USP42
C9JPE8	RALA
C9JPI5	PBRM1
C9JPK5	ITGB1
C9JQA1	PQBP1
C9JQG7	CDYL
C9JQT2	ACTL6A
C9JQV0	C7orf50
C9JQV6	ATXN3
C9JR82	TIMMDC1
C9JRD9	EIF2B5
C9JRS3	ZNF143
C9JRS7	TRNT1
C9JRZ6	CHCHD3
C9JS50	STEAP4
C9JST4	PDCL3
C9JSW8	CCDC51
C9JTC6	LRRFIP1
C9JTD3	STARD7
C9JTJ8	SERPINB8
C9JTV5	ARPC2
C9JU11	PLOD3
C9JUF0	EIF4A2
C9JUG3	SSH3
C9JUP5	MYO1B
C9JV50	SACM1L
C9JVB6	TRMT10C
C9JVN9	L2HGDH
C9JVP0	FOXJ3
C9JW01	PUM2
C9JW46	HPCAL1
C9JW94	SPC25
C9JW96	PHB
C9JWB9	KIF5C
C9JWC4	HJURP
C9JWN0	ZNF638
C9JXC1	RRM2
C9JXG5	THOC5
C9JXP4	ZBED1
C9JXQ9	NDUFB4
C9JXX7	ITGA6
C9JY10	PDIA5
C9JYA6	DUSP11
C9JYB3	WDHD1
C9JYJ8	REPIN1
C9JYN0	SYPL1
C9JYS6	EGFR
C9JZ65	SERPINB4
C9JZ71	ARIH2
C9JZ81	XRCC5
C9JZG9	UBE2H
C9JZH6	CPSF3
C9JZL3	OGT
C9JZR2	CTNND1
C9JZT2	EIF2AK2
C9JZW3	EEF1B2
C9K025	RPL35A
C9K028	NME1
C9K041	TRMT2A
C9K087	CDC45
C9K0U5	GMNN
C9K0U8	SSBP1
C9K0W5	SETD3
D2KFR9	STAT1
D3DQV9	EIF4G2
D3DRR9	PROSER2
D3YTB1	RPL32
D3YTC1	MRPL35
D3YTI2	ACP1
D6R905	EXOSC9
D6R909	RACK1
D6R917	GNPDA1
D6R935	RHOBTB3
D6R936	SPDL1
D6R942	MEF2C
D6R954	TRMT10A
D6R970	SUB1
D6R997	COPB2
D6R9A1	RAD1
D6R9A4	G3BP2
D6R9A6	HMGB2
D6R9B6	RPS3A
D6R9C3	COX7A2
D6R9D3	HNRNPH1
D6R9E4	KIF20A
D6R9F5	PALLD
D6R9F8	TARS1
D6R9G1	CDK7
D6R9G2	ADH5
D6R9H8	PAIP1
D6R9I7	RPS23
D6R9I9	ABCE1
D6R9K7	RBM4
D6R9M0	KIF2A
D6R9M3	UIMC1
D6R9P3	HNRNPAB
D6R9Q1	PPWD1
D6R9Q9	DBN1
D6R9R1	MCCC2
D6R9R7	SKP2
D6R9S6	RICTOR
D6R9T3	HMCES
D6R9T5	OCIAD1
D6R9T8	YTHDC2
D6R9V2	NSD2
D6R9X7	ERCC6
D6R9Y6	SEPTIN11
D6R9Z6	LARP7
D6R9Z7	COX7C
D6RA11	UBE2D3
D6RA56	NDUFAF2
D6RA82	ANXA3
D6RA93	NCAPG
D6RAA2	SAR1B
D6RAA6	TMEM33
D6RAC3	PIK3R4
D6RAC5	SSBP2
D6RAD2	RFC1
D6RAE9	SFXN1
D6RAF7	IFT122
D6RAH3	ADD1
D6RAI5	NNT
D6RAJ6	FBXO4
D6RAL1	GFM2
D6RAN1	PDLIM7
D6RAQ1	HPSE
D6RAQ7	GAK
D6RAQ8	CANX
D6RAR6	FASTKD3
D6RAW1	GTF2H2
D6RAX7	COPS4
D6RAY3	MTRR
D6RAY8	SMARCAD1
D6RAY9	IK
D6RB59	EXOC3
D6RB97	RAP1GDS1
D6RBE3	ATPSCKMT
D6RBE9	ANXA5
D6RBI1	SNF8
D6RBI4	CALCOCO2
D6RBT0	SEC31A
D6RBT3	NDUFS6
D6RBU4	PPIP5K2
D6RBY8	CDC23
D6RC04	COMMD10
D6RC06	HINT1
D6RC14	MRPL3
D6RC15	SNX2
D6RC52	NHP2
D6RC60	NOP16
D6RC77	PGM3
D6RCC8	PPAT
D6RCD0	HSD17B11
D6RCD8	ACAD9
D6RCE2	TTC37
D6RCE9	TCEAL4
D6RCK3	MOB1B
D6RCL3	DIMT1
D6RCL5	HERC4
D6RCL7	AMOTL2
D6RCN7	IPO11
D6RD46	LIMCH1
D6RD73	METTL14
D6RDJ3	POLR1C
